,Title,Link,Day,Time,Where,Image link
23,New York Chinese Scholar’s Garden Tour,https://www.facebook.com/events/957269668812316/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 13:00 EDT,Snug Harbor Cultural Center and Botanical Garden,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/352721131_719385190196682_2432625072179045338_n.jpg?stp=c0.37.168.112a_cp6_dst-jpg_p168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=dGzJ_m_GDtUAX-O_Drb&_nc_ht=scontent.fbho3-2.fna&oh=00_AfBAcH7QOfl9WUNUvf5WAC0TX2w2r4GkX_D3IglM5Ebmgw&oe=6500A835
24,"New York City: Brunch, Lunch, or Dinner Cruise",https://www.facebook.com/events/579942177410024/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THU, 14 SEP AT 19:00 EDT AND 15 MORE,Pier 61 Spirit Cruises,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/338969037_1269148093673351_2862493030778833234_n.jpg?stp=c131.0.924.616a_dst-jpg_s168x128&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=uxf9R1rU4QwAX8YrxA-&_nc_ht=scontent.fbho3-3.fna&oh=00_AfB_pKVSTlyrYKZF1Q_W7tgfzbQbVVImkJloYIuqprqYuw&oe=6501BD53
26,H.O.T.A.'S New York State B Singles Handball Tournament Invitational,https://www.facebook.com/events/6871087536236122/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 07:00 EDT,Mccarren Park Handball Court,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/366029064_598236252477170_759688116095915162_n.jpg?stp=dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=Z51ZaywOzNsAX88PxYd&_nc_oc=AQlYIvmVR_0EP0zPsoGx5atCmQSM1kZq0ZWfzJ8Q1JFuFxRx7_hqxo2R770z0ztzVNY&_nc_ht=scontent.fbho3-3.fna&oh=00_AfCC2xO8zxspcfWK2b-RLJlmq28wTcNpda0W0Y-dzTF9nQ&oe=6501435E
27,New York City - Kissena Park Wednesday League,https://www.facebook.com/events/742240030455224/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 13 SEP AT 17:00 EDT,Kissena Golf Course,N/A
28,Run The Jewels Tickets New York City NY Terminal 5 NYC,https://www.facebook.com/events/1173209530035595/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 20:00 EDT,Terminal 5,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/338756414_1323411318221021_3111158497217919245_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=lYHrWX-P7vAAX8rCUbr&_nc_ht=scontent.fbho3-3.fna&oh=00_AfB7FDdOhN1Xowpbx52IYfWIe6DYsyTtXa36N2IShUgCMw&oe=65022471
29,Grupo Frontera Tickets New York City NY The Theater At Madison Square Garden NYC MSG,https://www.facebook.com/events/604583115074357/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 28 SEP AT 21:00 EDT,Theater at Madison Square Garden,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/357120738_738515081611561_7411448707109788847_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=FLvvjB4aL00AX8V51KG&_nc_ht=scontent.fbho3-2.fna&oh=00_AfCq7xOluXzwxx3wSAresRS3H03qX-1giSbL-EKoWLTMFw&oe=6501A277
30,The 2023 New York RUEDAY,https://www.facebook.com/events/1227515037962653/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 7 OCT AT 21:00 EDT,New York City,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/347399665_10107696164496466_661980593104756278_n.jpg?stp=c0.10.168.112a_dst-jpg_p168x128&_nc_cat=110&ccb=1-7&_nc_sid=934829&_nc_ohc=v5p4xNwsQSoAX_f3cmr&_nc_ht=scontent.fbho3-1.fna&oh=00_AfAjcHOSJ_ACWkRCkfTRdFAFRg2zmf6uxPO3LABvCBs6sA&oe=650081A9
31,2023 PCOS CON - New York,https://www.facebook.com/events/731255578436084/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 08:00 EDT,D'Angelo Center,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/348651611_1174912853183210_1567129229315883603_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=o2dZ1QMQOtkAX8U4wjm&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBDeI1BQZRoI4rXf44wP91Noh4XDLIDML0UxLWpm5XzIg&oe=65015918
32,"Fotokurs-Reise New York, neu 7.-13.10.23",https://www.facebook.com/events/4960864170676754/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 7 OCT-13 OCT,"New York, NY, United States",https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/276155780_10224960828980698_258592527242721978_n.jpg?stp=dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=CLI3qppWP_0AX9C0UYi&_nc_ht=scontent.fbho3-2.fna&oh=00_AfA9obmIhRyrhtjCgs6SVBkpVxCgDxYAxcLR5C-HQmKBtg&oe=65008CAB
33,Taylor Tomlinson Tickets New York City NY Radio City Music Hall NYC RCMH,https://www.facebook.com/events/6281954565227154/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 19:00 EDT,Radio City Music Hall,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/344807771_2215256391999821_8655404094645083046_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=756GMy-_VNMAX9VgNyg&_nc_ht=scontent.fbho3-3.fna&oh=00_AfCAdnlCG4ShV9mGhHn8-l9KRUnUbmolYq9BPU3YqyOvLA&oe=6502292E
34,New York INSIEME,https://www.facebook.com/events/564603648860439/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,MON, 27 NOV-3 DEC,New York,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/341870985_6103998649692422_7480456179624300444_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=XNOiSiYzxlMAX_Jjy4V&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBfgMvBc2fGUDvaEkDMkeCITHuaQkMzhJtHeMZrA6--kw&oe=65022594
35,New York City - Fall Foliage Cruise,https://www.facebook.com/events/137935296047389/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP AT 14:00 EDT AND 20 MORE,"299 South St, New York, NY",https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/370283318_680954314058292_2848051890044014548_n.jpg?stp=dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=xkROaYd-eEoAX8RnJmS&_nc_ht=scontent.fbho3-2.fna&oh=00_AfBtWDyMqS_e6tOoca6I2q-ijqVzsKQsOnplw9Xj6LOt1Q&oe=65022AD1
36,New York City Day Trip,https://www.facebook.com/events/664174722218084/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 DEC AT 03:00 PST,"Broadway (New York, N.Y.)",https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/354247655_593355519563827_2737622479596482305_n.jpg?stp=dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=hqJ8amY5iecAX_GoO7W&_nc_ht=scontent.fbho3-2.fna&oh=00_AfCATlVNt1-jf86i1ICIJbqvPVtt4n2VWc23GURm3Z1uvw&oe=650100FE
